"filename", "language", "XML", "Java Properties", "Batch", "Java", "HTML", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/templates/ViewSubmission.html", "HTML", 0, 0, 0, 0, 7, 0, 0, 0, 0, 7
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/templates/createTest.html", "HTML", 0, 0, 0, 0, 261, 0, 0, 1, 25, 287
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/templates/editTest.html", "HTML", 0, 0, 0, 0, 269, 0, 0, 1, 22, 292
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/templates/forgot.html", "HTML", 0, 0, 0, 0, 51, 0, 0, 0, 2, 53
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/templates/home.html", "HTML", 0, 0, 0, 0, 251, 0, 0, 16, 19, 286
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/templates/listStudents.html", "HTML", 0, 0, 0, 0, 220, 0, 0, 1, 20, 241
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/templates/login.html", "HTML", 0, 0, 0, 0, 71, 0, 0, 0, 6, 77
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/templates/register.html", "HTML", 0, 0, 0, 0, 119, 0, 0, 3, 12, 134
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/templates/reset.html", "HTML", 0, 0, 0, 0, 52, 0, 0, 0, 2, 54
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/templates/test.html", "HTML", 0, 0, 0, 0, 109, 0, 0, 0, 16, 125
"/Users/saugatsingh/Documents/Projects/app/src/main/resources/templates/testView.html", "HTML", 0, 0, 0, 0, 238, 0, 0, 1, 19, 258
"/Users/saugatsingh/Documents/Projects/app/src/test/java/com/kjlc/app/AppApplicationTests.java", "Java", 0, 0, 0, 9, 0, 0, 0, 0, 5, 14
"Total", "-", 85, 7, 102, 932, 1648, 595, 107, 131, 554, 4161
